timestamp,power_factor,temperature,hour,month,day_of_week,is_weekend,hour_sin,hour_cos,month_sin,month_cos
2000-06-24 07:00:00,0.430598885272883,17.5,7,6,5,1,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
2000-06-24 08:00:00,0.481816406688362,19.6,8,6,5,1,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
2000-06-24 09:00:00,0.526499756854823,21.2,9,6,5,1,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0
2000-06-24 10:00:00,0.563414955298694,22.4,10,6,5,1,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
2000-06-24 11:00:00,0.592295776755321,23.6,11,6,5,1,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0
2000-06-24 12:00:00,0.610157483260389,24.5,12,6,5,1,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
2000-06-24 13:00:00,0.618485542213743,25.4,13,6,5,1,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0
2000-06-24 14:00:00,0.625324991583436,26.0,14,6,5,1,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0
2000-06-24 15:00:00,0.631590954999438,25.9,15,6,5,1,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0
2000-06-24 16:00:00,0.637718550106609,26.0,16,6,5,1,-0.8660254037844384,-0.5000000000000004,1.2246467991473532e-16,-1.0
2000-06-24 17:00:00,0.640191486178131,25.2,17,6,5,1,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
2000-06-24 18:00:00,0.631268357460816,23.6,18,6,5,1,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0
2000-06-24 19:00:00,0.619637152582949,22.4,19,6,5,1,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0
2000-06-24 20:00:00,0.626929487898851,21.4,20,6,5,1,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
2000-06-24 21:00:00,0.621354393446302,20.6,21,6,5,1,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0
2000-06-24 22:00:00,0.573681030935547,20.1,22,6,5,1,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0
2000-06-24 23:00:00,0.51874346313545,19.6,23,6,5,1,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0
2000-06-25 00:00:00,0.481132158755096,19.1,0,6,6,1,0.0,1.0,1.2246467991473532e-16,-1.0
2000-06-25 01:00:00,0.457932667489619,18.7,1,6,6,1,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0
2000-06-25 02:00:00,0.44496285489844,18.4,2,6,6,1,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0
2000-06-25 03:00:00,0.439647215052556,17.9,3,6,6,1,0.7071067811865475,0.7071067811865476,1.2246467991473532e-16,-1.0
2000-06-25 04:00:00,0.445363632963004,17.8,4,6,6,1,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
2000-06-25 05:00:00,0.473835671267721,17.7,5,6,6,1,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0
2000-06-25 06:00:00,0.5435752814873,18.0,6,6,6,1,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
2000-06-25 07:00:00,0.623375042082819,19.2,7,6,6,1,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
